,PC1,PC2,Type
S_2202.Stool193,-0.247996823,-0.063055578,Gut
S_2202.Stool129,-0.300174093,-0.042245188,Gut
S_2202.Stool214,-0.245882768,-0.067944027,Gut
S_2202.Stool211,-0.283715669,-0.058970434,Gut
S_2202.Stool278,-0.348769885,-0.059468931,Gut
S_2202.Stool180,-0.264474353,-0.029731274,Gut
S_2202.Stool425,-0.350327831,-0.061245101,Gut
S_2202.Stool267,-0.349301447,-0.044117418,Gut
S_2202.Stool263,-0.350146339,-0.048126996,Gut
S_2202.Stool265,-0.350167342,-0.048937237,Gut
S_2202.Stool269,-0.34264554,-0.031887339,Gut
S_2202.Stool262,-0.33862896,-0.052370589,Gut
S_2202.Stool268,-0.329627604,-0.02677674,Gut
S_2202.Stool466,-0.350209202,-0.052512641,Gut
S_2202.Stool468,-0.313528106,-0.059543997,Gut
S_2202.Stool385,-0.328193594,-0.055183235,Gut
S_2202.Stool152,-0.319856653,-0.053415174,Gut
S_2202.Stool282,-0.352420161,-0.044665347,Gut
S_2202.Stool266,-0.33763679,-0.03497756,Gut
S_2202.Stool26,-0.255937961,-0.050426989,Gut
S_2202.Stool75,-0.354764738,-0.049322779,Gut
S_2202.Stool76,-0.214684379,-0.0526542,Gut
S_2202.Stool435,-0.349486631,-0.050367054,Gut
S_2202.Stool471,-0.320963571,-0.06083956,Gut
S_2202.Stool436,-0.298051968,-0.021694472,Gut
S_2202.Stool458,-0.321655821,-0.027766358,Gut
S_2202.Stool437,-0.33465842,-0.047847249,Gut
S_2202.Stool475,-0.27487979,-0.065008096,Gut
S_2202.Stool434,-0.352803448,-0.047344369,Gut
S_2202.Stool381,-0.318314525,-0.062506971,Gut
S_2202.Stool433,-0.327538347,-0.031885445,Gut
S_2202.Stool280,-0.29551544,-0.052277482,Gut
S_2202.Stool391,-0.326776326,-0.058333913,Gut
S_2202.Stool419,-0.35190275,-0.05443239,Gut
S_2202.Stool414,-0.328430126,-0.035017274,Gut
S_2202.Stool463,-0.311777385,-0.056745896,Gut
S_2202.Stool411,-0.298430723,-0.010269057,Gut
S_2202.Stool467,-0.341936064,-0.06282607,Gut
S_2202.Stool387,-0.30779838,-0.053316891,Gut
S_2202.Stool420,-0.327043986,-0.028733477,Gut
S_2202.Stool276,-0.319943768,-0.022719761,Gut
S_2202.Stool279,-0.290059047,-0.060481271,Gut
S_2202.Stool283,-0.353067753,-0.048153174,Gut
S_2202.Stool275,-0.337794104,-0.058502756,Gut
S_2202.Stool465,-0.323174739,-0.03876622,Gut
S_2202.Stool461,-0.333624583,-0.038970943,Gut
S_2202.Stool32,-0.202015317,-0.077309586,Gut
S_2202.Stool424,-0.348521416,-0.033159182,Gut
S_2202.Stool432,-0.317353462,-0.021472412,Gut
S_2202.Stool393,-0.288199019,-0.005983196,Gut
S_2202.Stool457,-0.327649733,-0.05028997,Gut
S_2202.Stool95,-0.274402789,-0.031069852,Gut
S_2202.Stool451,-0.349696299,-0.048703705,Gut
S_2202.Stool41,-0.288963094,-0.047565376,Gut
S_2202.Stool210,-0.328885531,-0.041276836,Gut
S_2202.Stool277,-0.323838361,-0.048730987,Gut
